Team,Season,HR,G,SOG,TOI
CBJ,2007,Home,48,822,101634
CBJ,2007,Road,63,871,108879
CBJ,2007,Total,111,1693,210513
DAL,2007,Home,78,931,129511
DAL,2007,Road,90,1013,136887
DAL,2007,Total,168,1944,266398
VAN,2007,Home,58,741,107412
VAN,2007,Road,67,800,100516
VAN,2007,Total,125,1541,207928
NSH,2007,Home,75,899,115560
NSH,2007,Road,80,978,115159
NSH,2007,Total,155,1877,230719
ANA,2007,Home,57,705,112148
ANA,2007,Road,61,927,106979
ANA,2007,Total,118,1632,219127
WSH,2007,Home,77,1021,116383
WSH,2007,Road,81,1024,120688
WSH,2007,Total,158,2045,237071
NYI,2007,Home,61,841,106680
NYI,2007,Road,58,963,108660
NYI,2007,Total,119,1804,215340
BUF,2007,Home,68,866,107017
BUF,2007,Road,90,884,107428
BUF,2007,Total,158,1750,214445
T.B,2007,Home,68,834,113193
T.B,2007,Road,68,916,111971
T.B,2007,Total,136,1750,225164
N.J,2007,Home,61,897,114252
N.J,2007,Road,67,907,114371
N.J,2007,Total,128,1804,228623
CHI,2007,Home,66,765,103044
CHI,2007,Road,77,861,103428
CHI,2007,Total,143,1626,206472
CGY,2007,Home,76,873,118190
CGY,2007,Road,78,906,113786
CGY,2007,Total,154,1779,231976
MTL,2007,Home,79,900,119721
MTL,2007,Road,85,1000,122979
MTL,2007,Total,164,1900,242700
STL,2007,Home,65,831,107993
STL,2007,Road,71,761,106694
STL,2007,Total,136,1592,214687
MIN,2007,Home,71,857,113956
MIN,2007,Road,70,854,114762
MIN,2007,Total,141,1711,228718
PIT,2007,Home,77,973,130475
PIT,2007,Road,98,1014,134446
PIT,2007,Total,175,1987,264921
ATL,2007,Home,49,676,108081
ATL,2007,Road,76,829,112688
ATL,2007,Total,125,1505,220769
EDM,2007,Home,63,746,106545
EDM,2007,Road,80,855,109615
EDM,2007,Total,143,1601,216160
OTT,2007,Home,86,916,113961
OTT,2007,Road,79,956,110932
OTT,2007,Total,165,1872,224893
PHI,2007,Home,80,1007,130627
PHI,2007,Road,75,962,120263
PHI,2007,Total,155,1969,250890
