Team,Season,CF,CA,CF%,GF,GA,GF%
N.J,2007,3289,3005,52.3,128,132,49.2
PIT,2007,3554,4290,45.3,175,150,53.8
CHI,2007,2683,2703,49.8,143,133,51.8
EDM,2007,2958,3424,46.3,143,166,46.3
CAR,2007,3443,3194,51.9,153,145,51.3
OTT,2007,3411,3239,51.3,165,155,51.6
MIN,2007,3256,3373,49.1,141,148,48.8
DAL,2007,3609,3442,51.2,168,153,52.3
CBJ,2007,2929,2671,52.3,111,125,47.0
BOS,2007,3478,3282,51.4,132,131,50.2
PHI,2007,3599,4156,46.4,155,168,48.0
S.J,2007,3712,3216,53.6,148,139,51.6
FLA,2007,3231,3388,48.8,133,136,49.4
NYR,2007,3697,3158,53.9,151,126,54.5
COL,2007,3259,3587,47.6,169,156,52.0
STL,2007,2743,3049,47.4,136,141,49.1
NSH,2007,3287,3326,49.7,155,157,49.7
BUF,2007,3017,3066,49.6,158,144,52.3
ANA,2007,2881,2818,50.6,118,108,52.2
NYI,2007,3279,3231,50.4,119,132,47.4
CGY,2007,3345,3052,52.3,154,143,51.9
MTL,2007,3622,4114,46.8,164,160,50.6
L.A,2007,3008,3576,45.7,137,174,44.1
VAN,2007,2827,3052,48.1,125,125,50.0
TOR,2007,3422,3182,51.8,147,155,48.7
DET,2007,4453,3077,59.1,188,126,59.9
ATL,2007,2638,3512,42.9,125,172,42.1
PHX,2007,3226,3357,49.0,122,134,47.7
WSH,2007,3910,3158,55.3,158,149,51.5
T.B,2007,3158,3226,49.5,136,174,43.9
N.J,2008,3735,3410,52.3,160,134,54.4
PIT,2008,4163,4477,48.2,214,184,53.8
CHI,2008,4004,3378,54.2,181,162,52.8
EDM,2008,3160,3482,47.6,150,145,50.8
CAR,2008,4484,4160,51.9,168,177,48.7
OTT,2008,3098,3200,49.2,125,142,46.8
MIN,2008,3020,3377,47.2,122,136,47.3
DAL,2008,3088,3093,50.0,150,159,48.5
CBJ,2008,3265,3043,51.8,157,141,52.7
BOS,2008,3791,3740,50.3,191,129,59.7
PHI,2008,3494,3818,47.8,161,163,49.7
S.J,2008,3754,3174,54.2,136,134,50.4
FLA,2008,3271,3740,46.7,150,145,50.8
NYR,2008,3805,3496,52.1,131,154,46.0
COL,2008,3138,3566,46.8,124,167,42.6
STL,2008,3051,3305,48.0,134,145,48.0
NSH,2008,3195,3301,49.2,133,139,48.9
BUF,2008,3195,3305,49.2,152,144,51.4
ANA,2008,3596,3641,49.7,167,149,52.8
NYI,2008,3274,3898,45.6,117,173,40.3
CGY,2008,3834,3086,55.4,172,165,51.0
MTL,2008,3437,3726,48.0,150,159,48.5
L.A,2008,3186,3098,50.7,113,136,45.4
VAN,2008,3293,3425,49.0,164,135,54.8
TOR,2008,3628,3576,50.4,161,177,47.6
DET,2008,4780,3589,57.1,217,167,56.5
ATL,2008,2923,3391,46.3,147,159,48.0
PHX,2008,3051,3658,45.5,130,158,45.1
WSH,2008,4440,3708,54.5,178,161,52.5
T.B,2008,2957,3249,47.6,128,144,47.1
N.J,2009,3456,3285,51.3,147,136,51.9
PIT,2009,4250,3802,52.8,190,180,51.4
CHI,2009,4782,3853,55.4,226,186,54.9
EDM,2009,3231,3955,45.0,142,188,43.0
CAR,2009,3366,3535,48.8,136,154,46.9
OTT,2009,3707,3513,51.3,156,185,45.7
MIN,2009,3118,3399,47.8,135,154,46.7
DAL,2009,3350,3588,48.3,150,154,49.3
CBJ,2009,2963,3249,47.7,134,165,44.8
BOS,2009,4266,3840,52.6,152,168,47.5
PHI,2009,4404,4382,50.1,187,180,51.0
S.J,2009,4295,4025,51.6,184,164,52.9
FLA,2009,3204,3984,44.6,139,151,47.9
NYR,2009,3444,3475,49.8,146,139,51.2
COL,2009,3176,4003,44.2,162,157,50.8
STL,2009,3295,3190,50.8,143,142,50.2
NSH,2009,3794,3606,51.3,159,153,51.0
BUF,2009,3700,3718,49.9,166,153,52.0
ANA,2009,3169,3536,47.3,147,145,50.3
NYI,2009,3433,3790,47.5,145,171,45.9
CGY,2009,3517,3267,51.8,133,135,49.6
MTL,2009,4138,4754,46.5,162,175,48.1
L.A,2009,3510,3464,50.3,147,150,49.5
VAN,2009,3958,3658,52.0,203,156,56.5
TOR,2009,3968,3539,52.9,151,161,48.4
DET,2009,4248,3633,53.9,166,171,49.3
ATL,2009,3248,3436,48.6,161,168,48.9
PHX,2009,3733,3500,51.6,160,144,52.6
WSH,2009,4299,3742,53.5,225,146,60.6
T.B,2009,3065,3366,47.7,135,158,46.1
N.J,2010,3276,2999,52.2,117,146,44.5
PIT,2010,3970,3472,53.3,156,139,52.9
CHI,2010,4014,3677,52.2,181,156,53.7
EDM,2010,3155,3650,46.4,123,169,42.1
CAR,2010,3741,3895,49.0,149,157,48.7
OTT,2010,3436,3455,49.9,123,173,41.6
MIN,2010,3013,3646,45.2,126,149,45.8
DAL,2010,3248,3505,48.1,143,141,50.4
CBJ,2010,3403,3287,50.9,139,159,46.6
BOS,2010,5069,4947,50.6,235,156,60.1
PHI,2010,4105,4168,49.6,192,166,53.6
S.J,2010,4795,4256,53.0,187,166,53.0
